refund_id,payment_id,refund_amount,refund_time,status
REF-00001,PAY-00096,1721.32,2026-08-17 06:47:30,processed
REF-00002,PAY-00016,299.48,2026-08-08 11:31:05,processed
REF-00003,PAY-00031,1616.87,2026-08-07 16:32:25,processed
REF-00004,PAY-00159,1155.04,2026-08-29 06:13:03,processed
REF-00005,PAY-00129,2117.39,2026-08-25 10:27:45,processed
REF-00006,PAY-00116,3681.14,2026-08-23 11:40:32,processed
REF-00007,PAY-00070,686.49,2026-08-12 03:52:20,processed
REF-00008,PAY-00171,3854.04,2026-09-02 06:29:36,processed
REF-00009,PAY-00175,2588.36,2026-09-02 13:23:46,processed
REF-00010,PAY-00046,124459.83,2026-08-11 12:06:37,processed
REF-00011,PAY-00067,3391.28,2026-08-12 01:33:26,processed
REF-00012,PAY-00183,661.3,2026-09-01 12:49:40,processed
REF-00013,PAY-00166,1172.32,2026-08-28 16:46:51,processed
REF-00014,PAY-00079,26.93,2026-08-15 05:12:53,processed
REF-00015,PAY-00187,1017.06,2026-09-02 03:51:47,processed
REF-00016,PAY-00178,120184.19,2026-09-01 23:25:29,processed
REF-00017,PAY-00057,55733.84,2026-08-14 08:06:27,processed
REF-00018,PAY-00153,386.57,2026-08-26 19:35:04,processed
REF-00019,PAY-00083,3619.89,2026-08-19 03:29:25,processed
REF-00020,PAY-00069,3819.31,2026-08-15 13:30:27,processed
REF-00021,PAY-00125,32793.63,2026-08-25 21:07:55,processed
REF-00022,PAY-00017,166.52,2026-08-04 19:33:34,processed
REF-00023,PAY-00149,1228.87,2026-08-28 00:03:52,processed
REF-00024,PAY-00094,804.69,2026-08-21 01:00:37,processed
REF-00025,PAY-00066,724.48,2026-08-12 09:57:50,processed
REF-00026,PAY-00061,4103.81,2026-08-16 03:41:45,processed
REF-00027,PAY-00085,415.52,2026-08-17 01:44:23,processed
REF-00028,PAY-00068,861.69,2026-08-15 11:47:36,processed
REF-00029,PAY-00126,28821.4,2026-08-27 01:48:25,processed
REF-00030,PAY-00133,1951.3,2026-08-23 21:25:49,processed
REF-EXTRA-PAY-00159,PAY-00159,134.88,2026-08-31 06:13:03,processed
REF-COMPOUND-PAY-00161,PAY-00161,27549.39,2026-08-27 18:59:29,processed
REF-COMPOUND-PAY-00183,PAY-00183,258.97,2026-08-31 19:33:40,processed
REF-COMPOUND-PAY-00041,PAY-00041,184.04,2026-08-08 11:30:09,processed
REF-COMPOUND-PAY-00053,PAY-00053,74.89,2026-08-12 08:55:26,processed
REF-COMPOUND-PAY-00088,PAY-00088,19201.5,2026-08-17 22:55:46,processed
REF-COMPOUND-PAY-00152,PAY-00152,4054.93,2026-08-25 16:43:56,processed
REF-COMPOUND-PAY-00091,PAY-00091,1032.02,2026-08-16 05:06:24,processed
REF-COMPOUND-PAY-00099,PAY-00099,142.31,2026-08-17 02:41:54,processed
REF-COMPOUND-PAY-00070,PAY-00070,282.79,2026-08-14 02:02:20,processed
REF-COMPOUND-PAY-00008,PAY-00008,967.95,2026-08-02 20:26:24,processed
REF-BORDERLINE-PAY-00190,PAY-00190,2619.41,2026-09-01 14:21:27,processed
