settlement_id,payment_id,gross_amount,fee,tax,net_amount,settlement_time,UTR
SET-00001,PAY-00001,2983.36,59.67,10.74,2912.95,2026-08-03 06:22:43,UTR893276164
SET-00002,PAY-00002,2167.42,43.35,7.8,2116.27,2026-08-03 07:59:47,UTR164404084
SET-00003,PAY-00003,874.97,17.5,3.15,854.32,2026-08-05 03:10:31,UTR453954673
SET-00004,PAY-00004,37104.24,742.08,133.58,36228.58,2026-08-04 17:39:33,UTR479673044
SET-00005,PAY-00005,3272.96,65.46,11.78,3195.72,2026-08-05 05:13:12,UTR874233009
SET-00006,PAY-00006,1453.72,29.07,5.23,1419.41,2026-08-03 04:27:05,UTR435489452
SET-00007,PAY-00007,501.34,10.03,1.8,489.51,2026-08-03 23:14:43,UTR644830077
SET-00008,PAY-00008,2576.24,51.52,9.27,1547.49,2026-08-12 01:08:24,UTR617746926
SET-00009,PAY-00009,413.73,8.27,2.38,403.08,2026-08-03 00:47:51,UTR697285504
SET-00010,PAY-00010,43875.33,877.51,157.95,42839.87,2026-08-04 02:26:09,UTR399110343
SET-00011,PAY-00011,4790.7,95.81,17.25,4677.64,2026-08-05 08:59:29,UTR560755939
SET-00012,PAY-00012,3552.4,71.05,12.79,3468.56,2026-08-06 03:57:09,UTR824750726
SET-00013,PAY-00013,42065.36,841.31,151.44,41072.62,2026-08-06 08:53:46,UTR753903309
SET-00014,PAY-00014,1636.66,32.73,5.89,1598.03,2026-08-06 19:33:22,UTR131088245
SET-00015,PAY-00015,3784.14,75.68,13.62,3694.83,2026-08-09 09:04:32,UTR918630985
SET-00016,PAY-00016,388.48,7.77,1.4,79.83,2026-08-05 11:31:05,UTR106556040
SET-00017,PAY-00017,294.73,5.89,1.68,120.63,2026-08-04 19:52:34,UTR805818425
SET-00018,PAY-00018,2481.35,49.63,8.93,2422.79,2026-08-05 21:33:02,UTR895609471
SET-00019,PAY-00019,3603.57,72.07,12.97,3518.53,2026-08-06 21:38:43,UTR901131404
SET-00020,PAY-00020,3348.7,66.97,12.06,3269.67,2026-08-07 05:48:53,UTR550791704
SET-00021,PAY-00021,3788.68,128.62,13.64,3646.42,2026-08-06 10:37:33,UTR497341481
SET-00022,PAY-00022,4922.41,98.45,17.72,4806.24,2026-08-07 01:32:30,UTR934120892
SET-00023,PAY-00023,4992.43,99.85,17.97,4874.61,2026-08-07 21:45:20,UTR156488296
SET-00024,PAY-00024,31186.77,623.74,112.27,30450.76,2026-08-05 09:42:18,UTR763398699
SET-00025,PAY-00025,3350.6,67.01,12.06,3271.53,2026-08-06 08:01:39,UTR392168202
SET-00026,PAY-00026,3173.49,63.47,11.42,3098.6,2026-08-07 08:26:32,UTR621475287
SET-00027,PAY-00027,2494.17,92.45,8.98,2392.74,2026-08-08 03:39:15,UTR393310667
SET-00028,PAY-00028,3958.14,79.16,14.25,3864.73,2026-08-06 06:02:46,UTR470626529
SET-00029,PAY-00029,4922.76,98.46,17.72,4806.58,2026-08-06 17:19:40,UTR828230915
SET-00030,PAY-00030,122080.26,2441.61,439.49,119199.17,2026-08-15 15:07:57,UTR665791188
SET-00031,PAY-00031,3463.61,69.27,12.47,1765.0,2026-08-08 14:28:25,UTR336779871
SET-00032,PAY-00032,20712.64,414.25,74.57,20223.82,2026-08-16 03:28:42,UTR108253947
SET-00033,PAY-00033,3569.29,71.39,12.85,3485.05,2026-08-06 19:13:00,UTR923935280
SET-00034,PAY-00034,2578.84,51.58,9.28,2517.98,2026-08-13 21:00:44,UTR452318696
SET-00035,PAY-00035,1174.67,33.42,4.23,1137.02,2026-08-06 19:04:34,UTR902100304
SET-00036,PAY-00036,1149.76,23.0,4.14,1122.63,2026-08-08 01:56:07,UTR508244633
SET-00037,PAY-00037,4347.57,86.95,15.65,4244.97,2026-08-10 00:04:19,UTR637152602
SET-00038,PAY-00038,848.75,16.98,3.06,828.72,2026-08-11 00:11:58,UTR480284107
SET-00039,PAY-00039,1200.74,24.01,4.32,1172.4,2026-08-08 18:16:56,UTR896760809
SET-00040,PAY-00040,2484.69,49.69,8.94,2426.05,2026-08-08 23:49:26,UTR593657365
SET-00041,PAY-00041,691.21,21.27,2.49,483.41,2026-08-08 22:06:09,UTR560940492
SET-00042,PAY-00042,2479.64,49.59,8.93,2421.12,2026-08-11 03:21:43,UTR787346882
SET-00043,PAY-00043,2816.62,56.33,10.14,2750.15,2026-08-10 00:26:18,UTR534900128
SET-00044,PAY-00044,1464.87,41.91,5.27,1417.69,2026-08-09 12:55:12,UTR960413104
SET-00045,PAY-00045,45964.92,919.3,165.47,44880.15,2026-08-11 18:37:52,UTR840463141
SET-00046,PAY-00046,172425.68,3448.51,620.73,43896.6,2026-08-10 09:43:37,UTR213669678
SET-00047,PAY-00047,3609.34,72.19,12.99,3524.16,2026-08-09 23:17:56,UTR529979713
SET-00048,PAY-00048,18817.18,376.34,103.61,18337.22,2026-08-11 12:33:27,UTR433154770
SET-00049,PAY-00049,4764.41,95.29,17.15,4651.97,2026-08-12 09:54:39,UTR457629711
SET-00050,PAY-00050,4816.42,96.33,17.34,4702.75,2026-08-18 03:55:57,UTR779919809
SET-00051,PAY-00051,2175.52,43.51,7.83,2124.18,2026-08-10 18:09:02,UTR308202515
SET-00052,PAY-00052,103554.77,2071.1,372.8,101110.88,2026-08-11 13:37:10,UTR979339361
SET-00053,PAY-00053,222.55,6.62,0.8,140.24,2026-08-12 13:10:26,UTR210385522
SET-00054,PAY-00054,2425.9,48.52,8.73,2368.65,2026-08-10 17:12:26,UTR286293158
SET-00055,PAY-00055,3543.99,70.88,12.76,3460.35,2026-08-12 15:58:39,UTR915133660
SET-00056,PAY-00056,4410.24,88.2,15.88,4306.16,2026-08-12 17:32:26,UTR929839316
SET-00057,PAY-00057,100204.75,2004.1,360.74,42106.08,2026-08-13 07:21:27,UTR910080036
SET-00058,PAY-00058,3719.16,74.38,13.39,3631.39,2026-08-13 15:56:20,UTR831361497
SET-00059,PAY-00059,1365.93,27.32,4.92,1333.69,2026-08-13 18:22:46,UTR770575153
SET-00060,PAY-00060,107304.19,2146.08,386.3,104771.81,2026-08-13 00:00:20,UTR262089272
SET-00061,PAY-00061,4103.81,82.08,14.77,-96.85,2026-08-12 06:16:45,UTR574817290
SET-00062,PAY-00062,902.45,18.05,3.25,881.15,2026-08-13 13:46:22,UTR394928601
SET-00063,PAY-00063,367.18,7.34,1.32,358.51,2026-08-13 05:58:32,UTR644748834
SET-00064,PAY-00064,94759.13,1895.18,341.13,92522.81,2026-08-11 17:46:53,UTR585238820
SET-00065,PAY-00065,167174.78,3343.5,601.83,163229.46,2026-08-11 10:06:55,UTR993027458
SET-00066,PAY-00066,724.48,14.49,2.61,-17.1,2026-08-12 15:57:50,UTR196955134
SET-00067,PAY-00067,3391.28,67.83,12.21,-80.03,2026-08-14 12:11:26,UTR512834919
SET-00068,PAY-00068,861.69,17.23,3.1,-20.34,2026-08-13 16:36:36,UTR950207886
SET-00069,PAY-00069,3374.12,67.48,12.15,2556.6,2026-08-14 02:31:27,UTR969533218
SET-00070,PAY-00070,1176.11,23.52,4.23,179.07,2026-08-19 22:14:20,UTR445236735
SET-00071,PAY-00071,3866.13,77.32,13.92,3774.89,2026-08-14 19:36:23,UTR261985842
SET-00072,PAY-00072,2869.61,57.39,10.33,2801.89,2026-08-12 23:36:26,UTR970768982
SET-00073,PAY-00073,1249.02,24.98,4.5,1219.54,2026-08-14 09:43:45,UTR641755366
SET-00074,PAY-00074,257.29,5.15,0.93,251.22,2026-08-14 19:38:58,UTR366012797
SET-00075,PAY-00075,3367.78,67.36,12.12,3288.3,2026-08-15 05:07:10,UTR662714327
SET-00076,PAY-00076,62768.06,1255.36,225.97,61286.73,2026-08-16 01:42:08,UTR490732457
SET-00077,PAY-00077,36717.55,734.35,132.18,35851.02,2026-08-20 17:01:49,UTR538912794
SET-00078,PAY-00078,176457.7,3529.15,635.25,172293.3,2026-08-15 08:01:06,UTR156227043
SET-00079,PAY-00079,128.89,2.58,0.46,125.85,2026-08-16 07:13:53,UTR170772317
SET-00080,PAY-00080,1961.64,39.23,7.06,1915.35,2026-08-14 16:06:50,UTR828404274
SET-00081,PAY-00081,4868.27,97.37,17.53,4753.38,2026-08-15 12:08:40,UTR877103091
SET-00082,PAY-00082,3334.16,66.68,12.0,3255.47,2026-08-17 07:52:36,UTR261462131
SET-00083,PAY-00083,3619.89,72.4,13.03,-85.43,2026-08-15 20:37:25,UTR812548074
SET-00084,PAY-00084,4181.17,83.62,15.05,4082.49,2026-08-15 08:35:36,UTR804433388
SET-00085,PAY-00085,882.33,17.65,3.18,861.51,2026-08-18 09:48:23,UTR238460786
SET-00086,PAY-00086,574.96,11.5,2.07,561.39,2026-08-18 10:59:26,UTR432411019
SET-00087,PAY-00087,1801.3,36.03,6.48,1758.79,2026-08-18 02:11:05,UTR950040559
SET-00088,PAY-00088,19201.5,384.03,69.13,-453.16,2026-08-17 03:37:46,UTR854658900
SET-00089,PAY-00089,1272.3,25.45,4.58,1242.27,2026-08-19 00:48:03,UTR665210546
SET-00090,PAY-00090,4508.11,90.16,16.23,4401.72,2026-08-17 01:06:59,UTR554629125
SET-00091,PAY-00091,1032.02,20.64,3.72,-24.36,2026-08-18 16:07:24,UTR489336282
SET-00092,PAY-00092,4581.28,166.37,16.49,4398.42,2026-08-17 10:25:42,UTR466932310
SET-00093,PAY-00093,3941.95,78.84,14.19,3848.92,2026-08-17 16:37:32,UTR247709679
SET-00094,PAY-00094,1704.03,46.03,6.13,847.17,2026-08-16 14:12:37,UTR946237594
SET-00095,PAY-00095,2400.05,48.0,8.64,2343.41,2026-08-17 05:13:48,UTR679574436
SET-00096,PAY-00096,1721.32,34.43,6.2,-40.62,2026-08-19 07:10:30,UTR810741110
SET-00097,PAY-00097,1679.02,33.58,6.04,1639.4,2026-08-18 11:14:32,UTR741288486
SET-00098,PAY-00098,79124.61,1582.49,284.85,77257.27,2026-08-18 03:18:56,UTR294181873
SET-00099,PAY-00099,420.18,8.4,1.51,267.95,2026-08-28 22:32:54,UTR277746324
SET-00100,PAY-00100,1692.57,33.85,6.09,1652.63,2026-08-19 21:46:11,UTR541156077
SET-00101,PAY-00101,1290.69,25.81,4.65,1260.23,2026-08-19 12:36:01,UTR355046107
SET-00102,PAY-00102,729.12,14.58,2.62,711.91,2026-08-19 15:19:29,UTR907873857
SET-00103,PAY-00103,2949.62,58.99,10.62,2880.01,2026-08-20 10:23:37,UTR673390109
SET-00104,PAY-00104,1299.73,25.99,4.68,1269.06,2026-08-18 08:06:30,UTR942211135
SET-00105,PAY-00105,3915.27,78.31,14.09,3822.87,2026-08-19 06:24:22,UTR828326405
SET-00106,PAY-00106,153582.63,3071.65,552.9,149958.08,2026-08-20 18:21:35,UTR926178355
SET-00107,PAY-00107,4605.0,92.1,16.58,4496.32,2026-08-19 18:15:57,UTR666355637
SET-00108,PAY-00108,3624.44,72.49,13.05,3538.9,2026-08-19 21:24:41,UTR314423806
SET-00109,PAY-00109,1574.65,31.49,5.67,1537.49,2026-08-21 04:55:59,UTR368438908
SET-00110,PAY-00110,4320.61,86.41,15.55,4218.64,2026-08-20 00:04:11,UTR498585961
SET-00111,PAY-00111,4635.32,92.71,16.69,4525.93,2026-08-21 10:56:06,UTR653953485
SET-00112,PAY-00112,3211.39,64.23,11.56,3135.6,2026-08-19 18:00:30,UTR919390458
SET-00113,PAY-00113,3284.43,65.69,11.82,3206.92,2026-08-19 23:44:50,UTR651208305
SET-00114,PAY-00114,4060.18,81.2,14.62,3964.36,2026-08-20 06:41:34,UTR338411494
SET-00115,PAY-00115,1308.47,26.17,4.71,1277.59,2026-08-21 07:37:00,UTR128636900
SET-00116,PAY-00116,4713.82,94.28,16.97,921.43,2026-08-21 10:23:32,UTR639026034
SET-00117,PAY-00117,4146.1,82.92,14.93,4048.25,2026-08-21 17:10:36,UTR187623171
SET-00118,PAY-00118,4651.55,93.03,16.75,4541.77,2026-08-21 20:41:08,UTR442185272
SET-00119,PAY-00119,4189.52,83.79,15.08,4090.65,2026-08-21 18:48:29,UTR460015275
SET-00120,PAY-00120,922.17,18.44,3.32,900.41,2026-08-21 08:13:02,UTR408034406
SET-00121,PAY-00121,4164.08,83.28,14.99,4065.81,2026-08-23 12:03:30,UTR249027517
SET-00122,PAY-00122,2685.6,53.71,9.67,2622.22,2026-08-24 06:53:07,UTR760725160
SET-00123,PAY-00123,1985.36,39.71,7.15,1938.51,2026-08-27 19:03:31,UTR374796224
SET-00124,PAY-00124,3878.48,77.57,13.96,3786.95,2026-08-22 14:07:37,UTR880862406
SET-00125,PAY-00125,66362.19,1327.24,238.9,32002.41,2026-08-25 10:37:55,UTR219385981
SET-00126,PAY-00126,63196.73,1263.93,227.51,32883.89,2026-08-24 01:48:25,UTR230833665
SET-00127,PAY-00127,4937.44,98.75,17.77,4820.92,2026-08-23 02:41:40,UTR786069196
SET-00128,PAY-00128,718.48,14.37,2.59,701.52,2026-08-25 18:14:28,UTR219032752
SET-00129,PAY-00129,2117.39,42.35,7.62,-49.97,2026-08-31 04:36:45,UTR117647321
SET-00130,PAY-00130,442.87,8.86,1.59,432.42,2026-08-26 04:37:31,UTR359779090
SET-00131,PAY-00131,2005.4,40.11,7.22,1958.07,2026-08-31 19:01:21,UTR560891752
SET-00132,PAY-00132,883.91,17.68,3.18,863.05,2026-08-24 10:44:54,UTR358303887
SET-00133,PAY-00133,4026.94,80.54,14.5,1980.6,2026-08-26 08:31:49,UTR813363254
SET-00134,PAY-00134,2596.09,51.92,9.35,2534.82,2026-08-25 22:04:38,UTR487195336
SET-00135,PAY-00135,3708.71,74.17,13.35,3621.18,2026-08-31 12:26:04,UTR644738967
SET-00136,PAY-00136,1490.55,29.81,5.37,1455.37,2026-08-31 16:04:11,UTR519246503
SET-00137,PAY-00137,1780.11,35.6,10.13,1734.38,2026-08-25 00:46:14,UTR515410649
SET-00138,PAY-00138,3538.92,70.78,12.74,3455.4,2026-08-25 08:23:10,UTR117439966
SET-00139,PAY-00139,2055.06,41.1,7.4,2006.56,2026-08-25 02:02:25,UTR358906986
SET-00140,PAY-00140,823.1,16.46,2.96,803.67,2026-08-26 21:52:12,UTR211308231
SET-00141,PAY-00141,4160.67,83.21,14.98,4062.48,2026-08-27 05:22:36,UTR457039137
SET-00142,PAY-00142,1185.82,23.72,4.27,1157.83,2026-08-24 10:14:12,UTR686277792
SET-00143,PAY-00143,1168.03,23.36,4.2,1140.46,2026-09-03 05:31:32,UTR991617660
SET-00144,PAY-00144,4185.35,83.71,15.07,4086.58,2026-08-27 01:45:22,UTR613818935
SET-00145,PAY-00145,2264.99,45.3,8.15,2211.54,2026-08-26 21:25:31,UTR244796859
SET-00146,PAY-00146,3815.01,81.27,13.73,3720.01,2026-08-25 16:09:34,UTR591429705
SET-00147,PAY-00147,2388.42,47.77,8.6,2332.05,2026-08-25 11:10:37,UTR147036629
