bank_txn_id,UTR,credit_amount,value_date,description
BANK-00001,UTR893276164,2912.95,2026-08-03 10:15:43,NEFT CR UTR893276164 RAZORPAY SETTLEMENT
BANK-00002,UTR164404084,2116.27,2026-08-03 13:32:47,NEFT CR UTR164404084 RAZORPAY SETTLEMENT
BANK-00003,UTR453954673,854.32,2026-08-05 09:29:31,NEFT CR UTR453954673 RAZORPAY SETTLEMENT
BANK-00004,UTR479673044,36228.58,2026-08-05 00:49:33,NEFT CR UTR479673044 RAZORPAY SETTLEMENT
BANK-00005,UTR874233009,3195.72,2026-08-05 18:12:12,NEFT CR UTR874233009 RAZORPAY SETTLEMENT
BANK-00006,UTR435489452,1419.41,2026-08-03 13:49:05,NEFT CR UTR435489452 RAZORPAY SETTLEMENT
BANK-00007,UTR644830077,489.51,2026-08-04 18:11:43,NEFT CR UTR644830077 RAZORPAY SETTLEMENT
BANK-00008,UTR617746926,2515.44,2026-08-03 13:02:24,NEFT CR UTR617746926 RAZORPAY SETTLEMENT
BANK-00009,UTR697285504,403.97,2026-08-03 05:03:51,NEFT CR UTR697285504 RAZORPAY SETTLEMENT
BANK-00010,UTR399110343,42839.87,2026-08-04 11:06:09,NEFT CR UTR399110343 RAZORPAY SETTLEMENT
BANK-00011,UTR560755939,4677.64,2026-08-06 04:16:29,NEFT CR UTR560755939 RAZORPAY SETTLEMENT
BANK-00012,UTR824750726,3468.56,2026-08-06 10:37:09,NEFT CR UTR824750726 RAZORPAY SETTLEMENT
BANK-00013,UTR753903309,41072.62,2026-08-06 20:32:46,NEFT CR UTR753903309 RAZORPAY SETTLEMENT
BANK-00014,UTR131088245,1598.03,2026-08-07 14:38:22,NEFT CR UTR131088245 RAZORPAY SETTLEMENT
BANK-00015,UTR918630985,3694.83,2026-08-05 03:45:32,NEFT CR UTR918630985 RAZORPAY SETTLEMENT
BANK-00016,UTR106556040,79.83,2026-08-05 19:08:05,NEFT CR UTR106556040 RAZORPAY SETTLEMENT
BANK-00017,UTR805818425,121.25,2026-08-05 16:01:34,NEFT CR UTR805818425 RAZORPAY SETTLEMENT
BANK-00018,UTR895609471,2422.79,2026-08-06 05:15:02,NEFT CR UTR895609471 RAZORPAY SETTLEMENT
BANK-00019,UTR901131404,3518.53,2026-08-07 19:24:43,NEFT CR UTR901131404 RAZORPAY SETTLEMENT
BANK-00020,UTR550791704,3269.67,2026-08-08 03:09:53,NEFT CR UTR550791704 RAZORPAY SETTLEMENT
BANK-00021,UTR497341481,3699.27,2026-08-07 06:39:33,NEFT CR UTR497341481 RAZORPAY SETTLEMENT
BANK-00022,UTR934120892,4806.24,2026-08-07 03:37:30,NEFT CR UTR934120892 RAZORPAY SETTLEMENT
BANK-00023,UTR156488296,4874.61,2026-08-08 01:26:20,NEFT CR UTR156488296 RAZORPAY SETTLEMENT
BANK-00024,UTR763398699,30450.76,2026-08-06 05:58:18,NEFT CR UTR763398699 RAZORPAY SETTLEMENT
BANK-00025,UTR392168202,3271.53,2026-08-07 06:14:39,NEFT CR UTR392168202 RAZORPAY SETTLEMENT
BANK-00026,UTR621475287,3098.6,2026-08-08 04:52:32,NEFT CR UTR621475287 RAZORPAY SETTLEMENT
BANK-00027,UTR393310667,2435.31,2026-08-09 01:19:15,NEFT CR UTR393310667 RAZORPAY SETTLEMENT
BANK-00028,UTR470626529,3864.73,2026-08-06 08:33:46,NEFT CR UTR470626529 RAZORPAY SETTLEMENT
BANK-00029,UTR828230915,4806.58,2026-08-07 15:53:40,NEFT CR UTR828230915 RAZORPAY SETTLEMENT
BANK-00030,UTR665791188,119199.17,2026-08-09 02:48:57,NEFT CR UTR665791188 RAZORPAY SETTLEMENT
BANK-00031,UTR336779871,1765.0,2026-08-09 01:58:25,NEFT CR UTR336779871 RAZORPAY SETTLEMENT
BANK-00032,UTR108253947,20223.82,2026-08-08 13:19:42,NEFT CR UTR108253947 RAZORPAY SETTLEMENT
BANK-00033,UTR923935280,3485.05,2026-08-07 18:38:00,NEFT CR UTR923935280 RAZORPAY SETTLEMENT
BANK-00034,UTR452318696,2517.98,2026-08-07 08:29:44,NEFT CR UTR452318696 RAZORPAY SETTLEMENT
BANK-00035,UTR902100304,1146.95,2026-08-06 23:48:34,NEFT CR UTR902100304 RAZORPAY SETTLEMENT
BANK-00036,UTR508244633,1122.63,2026-08-08 05:06:07,NEFT CR UTR508244633 RAZORPAY SETTLEMENT
BANK-00037,UTR637152602,4244.97,2026-08-10 16:30:19,NEFT CR UTR637152602 RAZORPAY SETTLEMENT
BANK-00038,UTR480284107,828.72,2026-08-11 17:40:58,NEFT CR UTR480284107 RAZORPAY SETTLEMENT
BANK-00039,UTR896760809,1172.4,2026-08-09 02:37:56,NEFT CR UTR896760809 RAZORPAY SETTLEMENT
BANK-00040,UTR593657365,2426.05,2026-08-09 20:58:26,NEFT CR UTR593657365 RAZORPAY SETTLEMENT
BANK-00041,UTR560940492,674.9,2026-08-09 11:01:09,NEFT CR UTR560940492 RAZORPAY SETTLEMENT
BANK-00042,UTR787346882,2421.12,2026-08-11 16:07:43,NEFT CR UTR787346882 RAZORPAY SETTLEMENT
BANK-00043,UTR534900128,2750.15,2026-08-10 13:51:18,NEFT CR UTR534900128 RAZORPAY SETTLEMENT
BANK-00044,UTR960413104,1430.3,2026-08-09 19:43:12,NEFT CR UTR960413104 RAZORPAY SETTLEMENT
BANK-00045,UTR840463141,44880.15,2026-08-12 08:09:52,NEFT CR UTR840463141 RAZORPAY SETTLEMENT
BANK-00046,UTR213669678,43896.6,2026-08-11 04:49:37,NEFT CR UTR213669678 RAZORPAY SETTLEMENT
BANK-00047,UTR529979713,3524.16,2026-08-10 11:32:56,NEFT CR UTR529979713 RAZORPAY SETTLEMENT
BANK-00048,UTR433154770,18373.09,2026-08-12 04:40:27,NEFT CR UTR433154770 RAZORPAY SETTLEMENT
BANK-00049,UTR457629711,4651.97,2026-08-12 20:22:39,NEFT CR UTR457629711 RAZORPAY SETTLEMENT
