order_id,amount,order_time,currency,status
ORD-00049,2983.36,2026-08-01 02:35:05,INR,completed
ORD-00003,2167.42,2026-08-01 03:24:40,INR,completed
ORD-00034,874.97,2026-08-01 09:35:22,INR,completed
ORD-00064,37104.24,2026-08-01 14:12:53,INR,completed
ORD-00170,3272.96,2026-08-01 15:17:37,INR,completed
ORD-00181,1453.72,2026-08-01 18:48:35,INR,completed
ORD-00157,501.34,2026-08-01 19:38:22,INR,completed
ORD-00004,2576.24,2026-08-01 20:26:03,INR,completed
ORD-00048,413.73,2026-08-01 21:25:10,INR,completed
ORD-00160,43875.33,2026-08-01 22:37:19,INR,completed
ORD-00159,4790.7,2026-08-02 01:07:47,INR,completed
ORD-00013,3552.4,2026-08-02 08:17:51,INR,completed
ORD-00112,42065.36,2026-08-02 15:52:34,INR,completed
ORD-00069,1636.66,2026-08-02 21:16:09,INR,completed
ORD-00078,3784.14,2026-08-03 00:20:20,INR,completed
ORD-00050,388.48,2026-08-03 01:08:37,INR,completed
ORD-00074,294.73,2026-08-03 15:15:48,INR,completed
ORD-00042,2481.35,2026-08-03 19:23:42,INR,completed
ORD-00166,3603.57,2026-08-03 21:33:27,INR,completed
ORD-00153,3348.7,2026-08-03 23:24:06,INR,completed
ORD-00196,3788.68,2026-08-04 00:26:47,INR,completed
ORD-00056,4922.41,2026-08-04 02:12:24,INR,completed
ORD-00079,4992.43,2026-08-04 02:40:02,INR,completed
ORD-00085,31186.77,2026-08-04 03:53:49,INR,completed
ORD-00115,3350.6,2026-08-04 10:56:03,INR,completed
ORD-00167,3173.49,2026-08-04 10:58:49,INR,completed
ORD-00039,2494.17,2026-08-04 13:12:56,INR,completed
ORD-00102,3958.14,2026-08-04 13:55:40,INR,completed
ORD-00111,4922.76,2026-08-04 14:01:28,INR,completed
ORD-00168,122080.26,2026-08-04 20:36:17,INR,completed
ORD-00200,3463.61,2026-08-05 05:25:55,INR,completed
ORD-00141,20712.64,2026-08-05 08:25:11,INR,completed
ORD-00194,3569.29,2026-08-05 09:59:14,INR,completed
ORD-00080,2578.84,2026-08-05 12:42:25,INR,completed
ORD-00027,1174.67,2026-08-05 18:33:04,INR,completed
ORD-00052,1149.76,2026-08-05 20:47:27,INR,completed
ORD-00154,4347.57,2026-08-06 01:49:50,INR,completed
ORD-00142,848.75,2026-08-07 02:20:18,INR,completed
ORD-00125,1200.74,2026-08-07 05:21:53,INR,completed
ORD-00067,2484.69,2026-08-07 10:48:10,INR,completed
ORD-00189,691.21,2026-08-07 11:29:19,INR,completed
ORD-00063,2479.64,2026-08-07 14:36:05,INR,completed
ORD-00117,2816.62,2026-08-07 15:18:28,INR,completed
ORD-00059,1464.87,2026-08-08 02:44:40,INR,completed
ORD-00096,45964.92,2026-08-08 03:44:33,INR,completed
ORD-00103,172425.68,2026-08-08 07:15:58,INR,completed
ORD-00076,3609.34,2026-08-08 09:40:14,INR,completed
ORD-00051,18817.18,2026-08-08 10:08:20,INR,completed
ORD-00158,4764.41,2026-08-08 23:40:15,INR,completed
ORD-00109,4816.42,2026-08-09 01:23:34,INR,completed
ORD-00089,2175.52,2026-08-09 01:36:18,INR,completed
ORD-00088,103554.77,2026-08-09 01:50:58,INR,completed
ORD-00001,222.55,2026-08-09 08:54:58,INR,completed
ORD-00137,2425.9,2026-08-09 09:00:06,INR,completed
ORD-00188,3543.99,2026-08-09 11:09:49,INR,completed
ORD-00156,4410.24,2026-08-09 15:20:55,INR,completed
ORD-00149,100204.75,2026-08-09 15:52:05,INR,completed
ORD-00191,3719.16,2026-08-09 21:27:58,INR,completed
ORD-00180,1365.93,2026-08-09 21:42:19,INR,completed
ORD-00192,107304.19,2026-08-10 03:39:36,INR,completed
ORD-00084,4103.81,2026-08-10 03:46:17,INR,completed
