payment_id,order_id,amount,gateway,payment_time,status
PAY-00001,ORD-00049,2983.36,Netbanking,2026-08-01 02:35:43,success
PAY-00002,ORD-00003,2167.42,Card,2026-08-01 03:24:47,success
PAY-00003,ORD-00034,874.97,Wallet,2026-08-01 09:35:31,success
PAY-00004,ORD-00064,37104.24,Card,2026-08-01 14:13:33,success
PAY-00005,ORD-00170,3272.96,Wallet,2026-08-01 15:18:12,success
PAY-00006,ORD-00181,1453.72,Wallet,2026-08-01 18:49:05,success
PAY-00007,ORD-00157,501.34,Wallet,2026-08-01 19:38:43,success
PAY-00008,ORD-00004,2576.24,UPI,2026-08-01 20:26:24,success
PAY-00009,ORD-00048,413.73,UPI,2026-08-01 21:25:51,success
PAY-00010,ORD-00160,43875.33,Card,2026-08-01 22:38:09,success
PAY-00011,ORD-00159,4790.7,Card,2026-08-02 01:08:29,success
PAY-00012,ORD-00013,3552.4,UPI,2026-08-02 08:18:09,success
PAY-00013,ORD-00112,42065.36,Card,2026-08-02 15:52:46,success
PAY-00014,ORD-00069,1636.66,UPI,2026-08-02 21:16:22,success
PAY-00015,ORD-00078,3784.14,UPI,2026-08-03 00:20:32,success
PAY-00016,ORD-00050,388.48,Wallet,2026-08-03 01:09:05,success
PAY-00017,ORD-00074,294.73,Wallet,2026-08-03 15:16:34,success
PAY-00018,ORD-00042,2481.35,UPI,2026-08-03 19:24:02,success
PAY-00019,ORD-00166,3603.57,Netbanking,2026-08-03 21:33:43,success
PAY-00020,ORD-00153,3348.7,Netbanking,2026-08-03 23:24:53,success
PAY-00021,ORD-00196,3788.68,Wallet,2026-08-04 00:27:33,success
PAY-00022,ORD-00056,4922.41,Card,2026-08-04 02:12:30,success
PAY-00023,ORD-00079,4992.43,Card,2026-08-04 02:40:20,success
PAY-00024,ORD-00085,31186.77,UPI,2026-08-04 03:54:18,success
PAY-00025,ORD-00115,3350.6,Card,2026-08-04 10:56:39,success
PAY-00026,ORD-00167,3173.49,Card,2026-08-04 10:59:32,success
PAY-00027,ORD-00039,2494.17,Card,2026-08-04 13:13:15,success
PAY-00028,ORD-00102,3958.14,UPI,2026-08-04 13:55:46,success
PAY-00029,ORD-00111,4922.76,Netbanking,2026-08-04 14:01:40,success
PAY-00030,ORD-00168,122080.26,Netbanking,2026-08-04 20:36:57,success
PAY-00031,ORD-00200,3463.61,UPI,2026-08-05 05:26:25,success
PAY-00032,ORD-00141,20712.64,Netbanking,2026-08-05 08:25:42,success
PAY-00033,ORD-00194,3569.29,Wallet,2026-08-05 10:00:00,success
PAY-00034,ORD-00080,2578.84,Wallet,2026-08-05 12:42:44,success
PAY-00035,ORD-00027,1174.67,UPI,2026-08-05 18:33:34,success
PAY-00036,ORD-00052,1149.76,UPI,2026-08-05 20:48:07,success
PAY-00037,ORD-00154,4347.57,Netbanking,2026-08-06 01:50:19,success
PAY-00038,ORD-00142,848.75,Netbanking,2026-08-07 02:20:58,success
PAY-00039,ORD-00125,1200.74,UPI,2026-08-07 05:21:56,success
PAY-00040,ORD-00067,2484.69,UPI,2026-08-07 10:48:26,success
PAY-00041,ORD-00189,691.21,Netbanking,2026-08-07 11:30:09,success
PAY-00042,ORD-00063,2479.64,UPI,2026-08-07 14:36:43,success
PAY-00043,ORD-00117,2816.62,Card,2026-08-07 15:19:18,success
PAY-00044,ORD-00059,1464.87,Wallet,2026-08-08 02:45:12,success
PAY-00045,ORD-00096,45964.92,Card,2026-08-08 03:44:52,success
PAY-00046,ORD-00103,172425.68,Wallet,2026-08-08 07:16:37,success
PAY-00047,ORD-00076,3609.34,Wallet,2026-08-08 09:40:56,success
PAY-00048,ORD-00051,18817.18,Wallet,2026-08-08 10:08:27,success
PAY-00049,ORD-00158,4764.41,Wallet,2026-08-08 23:40:39,success
PAY-00050,ORD-00109,4816.42,Netbanking,2026-08-09 01:23:57,success
PAY-00051,ORD-00089,2175.52,UPI,2026-08-09 01:37:02,success
PAY-00052,ORD-00088,103554.77,Netbanking,2026-08-09 01:51:10,success
PAY-00053,ORD-00001,222.55,Wallet,2026-08-09 08:55:26,success
PAY-00054,ORD-00137,2425.9,Wallet,2026-08-09 09:00:26,success
PAY-00055,ORD-00188,3543.99,UPI,2026-08-09 11:10:39,success
PAY-00056,ORD-00156,4410.24,UPI,2026-08-09 15:21:26,success
PAY-00057,ORD-00149,100204.75,Netbanking,2026-08-09 15:52:27,success
PAY-00058,ORD-00191,3719.16,UPI,2026-08-09 21:28:20,success
PAY-00059,ORD-00180,1365.93,UPI,2026-08-09 21:42:46,success
PAY-00060,ORD-00192,107304.19,Wallet,2026-08-10 03:40:20,success
PAY-00061,ORD-00084,4103.81,UPI,2026-08-10 03:46:45,success
PAY-00062,ORD-00164,902.45,Netbanking,2026-08-10 03:56:22,success
PAY-00063,ORD-00195,367.18,Wallet,2026-08-10 04:36:32,success
PAY-00064,ORD-00104,94759.13,Wallet,2026-08-10 08:17:53,success
PAY-00065,ORD-00040,167174.78,UPI,2026-08-10 08:43:55,success
PAY-00066,ORD-00094,724.48,Netbanking,2026-08-10 13:16:50,success
PAY-00067,ORD-00077,3391.28,Card,2026-08-10 16:39:26,success
PAY-00068,ORD-00086,861.69,Wallet,2026-08-10 22:01:36,success
PAY-00069,ORD-00178,3374.12,Wallet,2026-08-11 01:03:27,success
PAY-00070,ORD-00020,1176.11,UPI,2026-08-11 02:02:20,success
PAY-00071,ORD-00033,3866.13,Card,2026-08-11 04:04:23,success
PAY-00072,ORD-00075,2869.61,Card,2026-08-11 09:30:26,success
PAY-00073,ORD-00140,1249.02,UPI,2026-08-11 11:38:45,success
PAY-00074,ORD-00021,257.29,Wallet,2026-08-11 14:36:58,success
PAY-00075,ORD-00116,3367.78,Card,2026-08-11 14:39:10,success
PAY-00076,ORD-00193,62768.06,Wallet,2026-08-12 06:32:08,success
PAY-00077,ORD-00016,36717.55,Card,2026-08-12 07:37:49,success
PAY-00078,ORD-00081,176457.7,Netbanking,2026-08-12 10:23:06,success
PAY-00079,ORD-00146,128.89,Netbanking,2026-08-12 10:52:53,success
PAY-00080,ORD-00009,1961.64,Wallet,2026-08-12 12:31:50,success
PAY-00081,ORD-00011,4868.27,Card,2026-08-13 02:52:40,success
PAY-00082,ORD-00105,3334.16,Card,2026-08-13 11:57:36,success
PAY-00083,ORD-00128,3619.89,Card,2026-08-13 18:00:25,success
PAY-00084,ORD-00144,4181.17,Card,2026-08-13 21:16:36,success
PAY-00085,ORD-00007,882.33,Netbanking,2026-08-14 12:23:23,success
PAY-00086,ORD-00054,574.96,Netbanking,2026-08-14 12:54:26,success
PAY-00087,ORD-00169,1801.3,Netbanking,2026-08-14 13:30:05,success
PAY-00088,ORD-00127,19201.5,Netbanking,2026-08-14 22:55:46,success
PAY-00089,ORD-00139,1272.3,Netbanking,2026-08-15 02:50:03,success
PAY-00090,ORD-00047,4508.11,Wallet,2026-08-15 04:24:59,success
PAY-00091,ORD-00058,1032.02,Wallet,2026-08-15 05:06:24,success
PAY-00092,ORD-00024,4581.28,Wallet,2026-08-15 05:12:42,success
PAY-00093,ORD-00065,3941.95,Netbanking,2026-08-15 10:23:32,success
PAY-00094,ORD-00155,1704.03,Wallet,2026-08-15 11:54:37,success
PAY-00095,ORD-00197,2400.05,Netbanking,2026-08-15 12:24:48,success
PAY-00096,ORD-00143,1721.32,Card,2026-08-15 15:08:30,success
PAY-00097,ORD-00121,1679.02,Wallet,2026-08-15 16:06:32,success
PAY-00098,ORD-00015,79124.61,Wallet,2026-08-15 23:08:56,success
PAY-00099,ORD-00199,420.18,Netbanking,2026-08-16 02:41:54,success
PAY-00100,ORD-00179,1692.57,Wallet,2026-08-16 07:44:11,success
PAY-00101,ORD-00053,1290.69,Wallet,2026-08-16 14:50:01,success
PAY-00102,ORD-00043,729.12,Card,2026-08-16 20:01:29,success
PAY-00103,ORD-00186,2949.62,UPI,2026-08-16 20:09:37,success
PAY-00104,ORD-00126,1299.73,Netbanking,2026-08-16 22:15:30,success
PAY-00105,ORD-00038,3915.27,Wallet,2026-08-17 00:01:22,success
PAY-00106,ORD-00035,153582.63,Wallet,2026-08-17 03:52:35,success
PAY-00107,ORD-00070,4605.0,Card,2026-08-17 05:43:57,success
PAY-00108,ORD-00135,3624.44,Card,2026-08-17 15:32:41,success
PAY-00109,ORD-00119,1574.65,Wallet,2026-08-18 00:00:59,success
PAY-00110,ORD-00060,4320.61,Netbanking,2026-08-18 03:34:11,success
PAY-00111,ORD-00113,4635.32,Wallet,2026-08-18 07:11:06,success
PAY-00112,ORD-00018,3211.39,UPI,2026-08-18 08:55:30,success
PAY-00113,ORD-00005,3284.43,Wallet,2026-08-18 15:16:50,success
PAY-00114,ORD-00174,4060.18,Wallet,2026-08-18 17:36:34,success
PAY-00115,ORD-00025,1308.47,UPI,2026-08-18 19:38:00,success
PAY-00116,ORD-00073,4713.82,UPI,2026-08-19 08:58:32,success
PAY-00117,ORD-00175,4146.1,Netbanking,2026-08-19 09:46:36,success
PAY-00118,ORD-00165,4651.55,UPI,2026-08-19 13:40:08,success
PAY-00119,ORD-00093,4189.52,UPI,2026-08-19 20:07:29,success
PAY-00120,ORD-00163,922.17,UPI,2026-08-20 04:11:02,success
PAY-00121,ORD-00012,4164.08,Card,2026-08-20 13:10:30,success
PAY-00122,ORD-00044,2685.6,Netbanking,2026-08-20 15:25:07,success
PAY-00123,ORD-00030,1985.36,UPI,2026-08-20 17:02:31,success
PAY-00124,ORD-00090,3878.48,UPI,2026-08-21 09:32:37,success
PAY-00125,ORD-00023,66362.19,Netbanking,2026-08-21 18:10:55,success
PAY-00126,ORD-00036,63196.73,Wallet,2026-08-21 18:29:25,success
PAY-00127,ORD-00083,4937.44,Card,2026-08-21 19:15:40,success
PAY-00128,ORD-00161,718.48,Wallet,2026-08-22 04:10:28,success
PAY-00129,ORD-00101,2117.39,Card,2026-08-22 09:02:45,success
PAY-00130,ORD-00114,442.87,Card,2026-08-22 12:01:31,success
PAY-00131,ORD-00150,2005.4,Wallet,2026-08-22 14:43:21,success
PAY-00132,ORD-00029,883.91,Card,2026-08-22 15:22:54,success
PAY-00133,ORD-00133,4026.94,Card,2026-08-22 19:20:49,success
PAY-00134,ORD-00107,2596.09,Wallet,2026-08-22 19:31:38,success
PAY-00135,ORD-00002,3708.71,Netbanking,2026-08-22 19:52:04,success
PAY-00136,ORD-00123,1490.55,Netbanking,2026-08-22 23:03:11,success
PAY-00137,ORD-00087,1780.11,UPI,2026-08-22 23:06:14,success
PAY-00138,ORD-00017,3538.92,Netbanking,2026-08-22 23:36:10,success
PAY-00139,ORD-00046,2055.06,Card,2026-08-22 23:40:25,success
PAY-00140,ORD-00129,823.1,Wallet,2026-08-23 00:12:12,success
PAY-00141,ORD-00172,4160.67,Netbanking,2026-08-23 05:34:36,success
PAY-00142,ORD-00185,1185.82,Wallet,2026-08-23 08:52:12,success
PAY-00143,ORD-00162,1168.03,Netbanking,2026-08-23 09:20:32,success
PAY-00144,ORD-00082,4185.35,Netbanking,2026-08-23 11:01:22,success
PAY-00145,ORD-00091,2264.99,Wallet,2026-08-23 15:34:31,success
PAY-00146,ORD-00183,3815.01,UPI,2026-08-23 17:20:34,success
PAY-00147,ORD-00055,2388.42,Wallet,2026-08-24 01:58:37,success
